City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bulungu,CD,-4.55,18.6,69.66,94,89,2.21,overcast clouds
80,Albany,US,42.6001,-73.9662,12.15,67,7,6.73,clear sky
81,Manokwari,ID,-0.8667,134.0833,83.16,67,100,4.85,light rain
82,Santa Maria,BR,-29.6842,-53.8069,72.7,94,0,2.3,clear sky
83,Almaznyy,RU,48.0448,40.045,21.34,93,100,6.26,overcast clouds
84,Tazovskiy,RU,67.4667,78.7,-19.8,100,74,5.68,broken clouds
85,Gavle,SE,60.6745,17.1417,36.5,92,100,5.99,snow
86,Vaini,TO,-21.2,-175.2,78.96,89,100,16.11,light rain
87,Khatanga,RU,71.9667,102.5,-20.13,98,99,5.44,overcast clouds
88,Ixtapa,MX,20.7,-105.2,72.63,78,20,8.05,few clouds
89,Comarapa,BO,-17.9,-64.4833,54.91,98,100,1.54,moderate rain
90,Aklavik,CA,68.2191,-135.0107,-31.97,88,60,0.6,broken clouds
91,Yudong,CN,29.385,106.5194,47.37,88,100,4.25,overcast clouds
92,Harlingen,US,26.1906,-97.6961,49.95,60,0,8.05,clear sky
93,Cherskiy,RU,68.75,161.3,-28.17,98,25,1.14,scattered clouds
94,Kjollefjord,NO,70.9457,27.3465,24.98,81,64,26.75,broken clouds
95,Chuy,UY,-33.6971,-53.4616,64.09,92,30,8.08,scattered clouds
96,Qaanaaq,GL,77.484,-69.3632,-0.11,96,100,3.83,overcast clouds
97,Carutapera,BR,-1.195,-46.02,75.49,92,100,5.23,overcast clouds
98,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.8,88,100,3.56,heavy intensity rain
99,Sibu,MY,2.3,111.8167,80.91,83,20,3.0,few clouds
100,Aberdeen,GB,57.1437,-2.0981,37.49,76,66,6.91,broken clouds
101,Broome,US,42.2506,-75.833,8.98,66,0,5.75,clear sky
102,Portland,US,45.5234,-122.6762,49.95,80,75,1.01,broken clouds
103,Ercis,TR,39.0287,43.3586,8.2,78,91,5.44,overcast clouds
104,San Rafael,AR,-34.6177,-68.3301,60.55,61,6,6.08,clear sky
105,Bandarbeyla,SO,9.4942,50.8122,73.35,76,10,7.54,clear sky
106,Cidreira,BR,-30.1811,-50.2056,74.61,88,88,3.18,overcast clouds
107,Mizdah,LY,31.4451,12.9801,54.34,27,100,3.69,overcast clouds
108,Barrow,US,71.2906,-156.7887,-20.18,69,0,11.5,clear sky
109,Borogontsy,RU,62.6683,131.1683,-29.18,95,96,1.59,overcast clouds
110,Vestmanna,FO,62.1564,-7.1664,32.92,75,75,26.46,light snow
111,Nedjo,ET,9.5046,35.5019,55.0,50,93,3.69,overcast clouds
112,Dingle,PH,10.9995,122.6711,81.64,69,98,19.26,overcast clouds
113,Jalu,LY,29.0331,21.5482,53.98,51,0,6.4,clear sky
114,Coihaique,CL,-45.5752,-72.0662,59.61,67,0,3.44,clear sky
115,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,27,14.97,scattered clouds
116,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,10.36,scattered clouds
117,Thinadhoo,MV,0.5333,72.9333,81.72,71,10,7.61,clear sky
118,Bubaque,GW,11.2833,-15.8333,77.85,66,2,10.04,clear sky
119,Uvira,CD,-3.4067,29.1458,70.41,80,96,3.53,overcast clouds
120,Souillac,MU,-20.5167,57.5167,79.36,94,40,10.36,scattered clouds
121,Saskylakh,RU,71.9167,114.0833,-30.93,100,97,2.93,overcast clouds
122,Port Lincoln,AU,-34.7333,135.8667,78.89,48,8,19.28,clear sky
123,Gigmoto,PH,13.7796,124.39,79.29,79,34,15.95,scattered clouds
124,Vila Velha,BR,-20.3297,-40.2925,76.95,86,0,1.01,clear sky
125,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,85,89,12.03,overcast clouds
126,Pingliang,CN,35.5392,106.6861,18.41,93,100,2.48,light snow
127,Dzerzhinskoye,RU,56.8344,95.2283,18.39,88,100,7.81,overcast clouds
128,Hasaki,JP,35.7333,140.8333,43.29,33,0,14.32,clear sky
129,Severo-Kurilsk,RU,50.6789,156.125,30.07,83,92,11.52,overcast clouds
130,Barabinsk,RU,55.3571,78.357,6.6,86,100,6.8,overcast clouds
131,Faya,SA,18.3851,42.4509,50.11,76,0,1.57,clear sky
132,Arraial Do Cabo,BR,-22.9661,-42.0278,76.62,87,54,26.49,broken clouds
133,Sakakah,SA,29.9697,40.2064,44.17,77,5,6.53,clear sky
134,Avarua,CK,-21.2078,-159.775,82.45,78,75,19.57,broken clouds
135,Erzin,TR,36.9559,36.2,37.92,79,5,3.74,clear sky
136,Vytegra,RU,61.0064,36.4481,9.27,92,39,10.49,scattered clouds
137,Praia,CV,14.9215,-23.5087,70.34,83,0,14.97,clear sky
138,Victoria,HK,22.2855,114.1577,62.26,79,99,3.0,overcast clouds
139,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,12.66,few clouds
140,Lebu,CL,-37.6167,-73.65,58.46,82,0,17.25,clear sky
141,Port Hardy,CA,50.6996,-127.4199,44.78,81,75,8.05,broken clouds
142,Venado Tuerto,AR,-33.7456,-61.9688,60.76,65,70,6.67,broken clouds
143,Sheboygan,US,43.7333,-87.9334,21.2,55,100,5.01,overcast clouds
144,Cabo San Lucas,MX,22.8909,-109.9124,67.3,69,3,9.08,clear sky
145,Tabou,CI,4.423,-7.3528,78.96,86,28,5.59,light rain
146,Mahibadhoo,MV,3.7833,72.9667,81.14,68,26,6.85,scattered clouds
147,Esperance,AU,-33.8667,121.9,85.84,37,1,13.53,clear sky
148,Buala,SB,-8.145,159.5921,85.78,74,98,9.48,light rain
149,Paraiso,CR,9.8383,-83.8656,67.06,96,22,3.44,few clouds
150,Trebisacce,IT,39.8708,16.5312,50.36,77,99,4.23,overcast clouds
151,Tonantins,BR,-2.8731,-67.8022,70.65,99,88,2.53,overcast clouds
152,Kavieng,PG,-2.5744,150.7967,83.89,72,100,7.2,overcast clouds
153,Belyy Yar,RU,53.6039,91.3903,-14.91,84,91,0.0,smoke
154,Chapais,CA,49.7834,-74.8492,-9.62,100,31,2.15,scattered clouds
155,Kodiak,US,57.79,-152.4072,40.51,81,100,20.71,light rain
156,Havoysund,NO,70.9963,24.6622,31.08,72,30,33.8,scattered clouds
157,Bangassou,CF,4.7413,22.8184,66.2,31,100,4.03,overcast clouds
158,Ostrovnoy,RU,68.0531,39.5131,15.01,84,100,28.54,overcast clouds
159,Port Hedland,AU,-20.3167,118.5667,89.65,66,40,9.22,scattered clouds
160,Bengkulu,ID,-3.8004,102.2655,74.35,95,100,12.26,overcast clouds
161,Kaputa,ZM,-8.4689,29.6619,66.61,86,100,2.71,overcast clouds
